"Ref","Name","Location","Type"
"K-0813","First Ladies","US-OH","National Historic Site"
"K-0814","Ford's Theatre","US-DC","National Historic Site"
"K-0815","Fort Bowie","US-AZ","National Historic Site"
"K-0816","Fort Davis","US-TX","National Historic Site"
"K-0817","Fort Laramie","US-WY","National Historic Site"
"K-0818","Fort Larned","US-KS","National Historic Site"
"K-0819","Fort Point","US-CA","National Historic Site"
"K-0820","Fort Raleigh","US-NC","National Historical Site"
"K-0821","Fort Scott","US-KS","National Historic Site"
"K-0822","Fort Smith","US-AR","National Historic Site"
"K-0823","Fort Union Trading Post","US-ND","National Historic Site"
"K-0824","Fort Vancouver","US-WA","National Historical Site"
"K-0825","Frederick Douglass","US-DC","National Historic Site"
"K-0826","Frederick Law Olmsted","US-MA","National Historic Site"
"K-0827","Friendship Hill","US-PA","National Historic Site"
"K-0828","Golden Spike","US-UT","National Historic Site"
"K-0829","Grant-Kohrs Ranch","US-MT","National Historic Site"
"K-0830","Hampton","US-MD","National Historic Site"
"K-0831","Harry S. Truman","US-MO","National Historic Site"
"K-0832","Herbert Hoover","US-IA","National Historic Site"
"K-0833","Home of Franklin D. Roosevelt","US-NY","National Historic Site"
"K-0834","Hopewell Furnace","US-PA","National Historic Site"
"K-0835","Hubbell Trading Post","US-AZ","National Historic Site"
"K-0836","James A. Garfield","US-OH","National Historic Site"
"K-0837","Jimmy Carter","US-GA","National Historic Site"
"K-0838","John Fitzgerald Kennedy","US-MA","National Historic Site"
"K-0839","John Muir","US-CA","National Historic Site"
"K-0840","Knife River Indian Villages","US-ND","National Historic Site"
"K-0841","Lincoln Home","US-IL","National Historic Site"
"K-0842","Little Rock Central High School","US-AR","National Historic Site"
"K-0843","Longfellow House","US-MA","National Historic Site"
"K-0844","Maggie L. Walker","US-VA","National Historic Site"
"K-0845","Manzanar","US-CA","National Historic Site"
"K-0846","Martin Luther King Jr.","US-GA","National Historic Site"
"K-0847","Martin Van Buren","US-NY","National Historic Site"
"K-0848","Mary McLeod Bethune Council House","US-DC","National Historic Site"
"K-0849","Minidoka Internment","US-ID","National Monument"
"K-0850","Minuteman Missile","US-SD","National Historical Site"
"K-0851","Nicodemus","US-KS","National Historic Site"
"K-0852","Ninety Six","US-SC","National Historic Site"
"K-0853","Pennsylvania Avenue","US-DC","Park"
"K-0854","William Jefferson Clinton Birthplace","US-AR","National Historic Site"
"K-0855","Pu'ukohola Helau","US-HI","National Historic Site"
"K-0856","Sagamore Hill","US-NY","National Historic Site"
"K-0857","Saint-Gaudens","US-NH","National Historic Site"
"K-0858","Saint Paul's Church","US-NY","National Historic Site"
"K-0859","Salem Maritime","US-MA","National Historic Site"
"K-0860","San Juan","US-KP4","National Historical Site"
"K-0861","Sand Creek Massacre","US-CO","National Historic Site"
"K-0862","Saugus Iron Works","US-MA","National Historic Site"
"K-0863","Springfield Armory","US-MA","National Historic Site"
"K-0864","Steamtown","US-PA","National Historic Site"
"K-0865","Theodore Roosevelt Birthplace","US-NY","National Historic Site"
"K-0866","Theodore Roosevelt Inaugural","US-NY","National Historic Site"
"K-0867","Thomas Stone","US-MD","National Historic Site"
"K-0868","Tuskagee Airmen","US-AL","National Historic Site"
"K-0869","Tuskagee Institute","US-AL","National Historical Site"
"K-0870","Ulysses S. Grant","US-MO","National Historic Site"
"K-0871","Vanderbilt Mansion","US-NY","National Historic Site"
"K-0872","Washita Battlefield","US-OK","National Historic Site"
"K-0873","Weir Farm","US-CT","National Historic Site"
"K-0874","Whitman Mission","US-WA","National Historic Site"
"K-0875","William Howard Taft","US-OH","National Historic Site"
"K-0876","Manhattan Project","US-NM","National Historic Site"
"K-0877","Alatna","US-AK","National Wild and Scenic River"
"K-0878","Aniakchak","US-AK","National Wild and Scenic River"
"K-0879","Charley","US-AK","National Wild and Scenic River"
"K-0880","Chilikadrotna","US-AK","National Wild and Scenic River"
"K-0881","Eightmile","US-CT","National Wild and Scenic River"
"K-0882","Farmington","US-CT","National Wild and Scenic River"
"K-0883","Flathead","US-MT","National Wild River"
"K-0884","Kings River","US-CA","Wild and Scenic River"
"K-0885","Lamprey","US-NH","National Wild and Scenic River"
"K-0886","Maurice River","US-NJ","Scenic and Recreational River"
"K-0887","Mulchatna","US-AK","National Wild River"
"K-0888","Musconetcong River","US-NJ","National Wild and Scenic River"
"K-0889","Noatak","US-AK","National Wild River"
"K-0890","Salmon","US-ID","National Wild River"
"K-0891","Taunton","US-MA","National Wild and Scenic River"
"K-0892","Tinayguk","US-AK","National Wild and Scenic River"
"K-0893","Tlikakila","US-AK","National Wild and Scenic River"
"K-0894","Tuolumne","US-CA","National Wild and Scenic River"
"K-0895","Virgin","US-UT","National Wild and Scenic River"
"K-0896","Wekiva","US-FL","National Wild and Scenic River"
"K-0897","Westfield","US-MA","National Wild and Scenic River"
"K-0898","White Clay Creek","US-PA","National Wild and Scenic River"
"K-0899","African Burial Ground","US-NY","National Monument"
"K-0900","Agate Fossil Beds","US-NE","National Monument"
"K-0901","Alibates Flint Quarries","US-TX","National Monument"
"K-0902","Aniakchak","US-AK","National Monument"
"K-0903","Aztec Ruins","US-NM","National Monument"
"K-0904","Bandelier","US-NM","National Monument"
"K-0905","Booker T. Washington","US-VA","National Monument"
"K-0906","Buck Island Reef","US-VI","National Monument"
"K-0907","Cabrillo","US-CA","National Monument"
"K-0908","Canyon de Chelly","US-AZ","National Monument"
"K-0909","Cape Krusenstern","US-AK","National Monument"
"K-0910","Capulin Volcano","US-NM","National Monument"
"K-0911","Casa Grande Ruins","US-AZ","National Monument"
"K-0912","Castillo de San Marcos","US-FL","National Monument"
"K-0913","Castle Clinton","US-NY","National Monument"
"K-0914","Cedar Breaks","US-UT","National Monument"
"K-0915","Cesar E. Chavez","US-CA","National Monument"
"K-0916","Charles Young Buffalo Soldiers","US-OH","National Monument"
"K-0917","Chiricahua","US-AZ","National Monument"
"K-0918","Colorado","US-CO","National Monument"
"K-0919","Devils Postpile","US-CA","National Monument"
"K-0920","Devils Tower","US-WY","National Monument"
"K-0921","Dinosaur","US-CO","National Monument"
"K-0922","Effigy Mounds","US-IA","National Monument"
"K-0923","El Malpais","US-NM","National Monument"
"K-0924","El Morro","US-NM","National Monument"
"K-0925","Florissant Fossil Beds","US-CO","National Monument"
"K-0926","Fort Frederica","US-GA","National Monument"
"K-0927","Fort Matanzas","US-FL","National Monument"
"K-0928","Fort McHenry","US-MD","National Monument and Historic Shrine"
"K-0929","Fort Monroe","US-VA","National Monument"
"K-0930","Fort Pulaski","US-GA","National Monument"
"K-0931","Fort Stanwix","US-NY","National Monument"
"K-0932","Fort Sumter","US-SC","National Monument"
"K-0933","Fort Union","US-NM","National Monument"
"K-0934","Fossil Butte","US-WY","National Monument"
"K-0935","George Washington Birthplace","US-VA","National Monument"
"K-0936","George Washington Carver","US-MO","National Monument"
"K-0937","Gila Cliff Dwellings","US-NM","National Monument"
"K-0938","Governors Island","US-NY","National Monument"
"K-0939","Grand Portage","US-MN","National Monument"
"K-0940","Hagerman Fossil Beds","US-ID","National Monument"
"K-0941","Hohokam Pima","US-AZ","National Monument"
"K-0942","Homestead","US-NE","National Monument"
"K-0943","Hovenweep","US-CO","National Monument"
"K-0944","Jewel Cave","US-SD","National Monument"
"K-0945","John Day Fossil Beds","US-OR","National Monument"
"K-0946","Lava Beds","US-CA","National Monument"
"K-0947","Little Bighorn Battlefield","US-MT","National Monument"
"K-0948","Montezuma Castle","US-AZ","National Monument"
"K-0949","Muir Woods","US-CA","National Monument"
"K-0950","Natural Bridges","US-UT","National Monument"
"K-0951","Navajo","US-AZ","National Monument"
"K-0952","Ocmulgee","US-GA","National Monument"
"K-0953","Oregon Caves","US-OR","National Monument"
"K-0954","Organ Pipe Cactus","US-AZ","National Monument"
"K-0955","Petroglyph","US-NM","National Monument"
"K-0956","Pipe Spring","US-AZ","National Monument"
"K-0957","Pipestone","US-MN","National Monument"
"K-0958","Poverty Point","US-LA","National Monument"
"K-0959","Rainbow Bridge","US-UT","National Monument"
"K-0960","Russell Cave","US-AL","National Monument"
"K-0961","Salinas Pueblo Missions","US-NM","National Monument"
"K-0962","Scotts Bluff","US-NE","National Monument"
"K-0963","Statue of Liberty","US-NY","National Monument"
"K-0964","Sunset Crater Volcano","US-AZ","National Monument"
"K-0965","Timpanogos Cave","US-UT","National Monument"
"K-0966","Tonto","US-AZ","National Monument"
"K-0967","Tuzigoot","US-AZ","National Monument"
"K-0968","Virgin Islands Coral Reef","US-VI","National Monument"
"K-0969","Walnut Canyon","US-AZ","National Monument"
"K-0970","White Sands","US-NM","National Monument"
"K-0971","World War II Valor in the Pacific","US-HI","National Monument"
"K-0972","Wupatki","US-AZ","National Monument"
"K-0973","Yucca House","US-CO","National Monument"
"K-0974","Tule Springs Fossil Beds","US-NV","National Monument"
"K-0975","Waco Mammoth","US-TX","National Monument"
"K-0976","Castle Mountains","US-CA","National Monument"
"K-0977","Stonewall","US-NY","National Monument"
"K-0978","Apple River Canyon","US-IL","State Park"
"K-0979","Argyle Lake","US-IL","State Park"
"K-0980","Beall Woods","US-IL","State Park"
"K-0981","Beaver Dam","US-IL","State Park"
"K-0982","Buffalo Rock","US-IL","State Park"
"K-0983","Campbell's Island","US-IL","State Park"
"K-0984","Castle Rock","US-IL","State Park"
"K-0985","Cave-In-Rock","US-IL","State Park"
"K-0986","Chain-O-Lakes","US-IL","State Park"
"K-0987","Channahon Parkway","US-IL","State Park"
"K-0988","Delabar State","US-IL","State Park"
"K-0989","Dixon Springs","US-IL","State Park"
"K-0990","Donnelley/DePue","US-IL","State Park"
"K-0991","Eldon Hazlet","US-IL","State Park"
"K-0992","Ferne Clyffe","US-IL","State Park"
"K-0993","Fort Massac","US-IL","State Park"
"K-0994","Fox Ridge","US-IL","State Park"
"K-0995","Gebhard Woods","US-IL","State Park"
"K-0996","Giant City","US-IL","State Park"
"K-0997","Hennepin Canal Parkway","US-IL","State Park"
"K-0998","Horseshoe Lake","US-IL","State Park"
"K-0999","Illini","US-IL","State Park"
"K-1000","Illinois Beach","US-IL","State Park"
"K-1001","James Pate Philip","US-IL","State Park"
"K-1002","Johnson Sauk Trail","US-IL","State Park"
"K-1003","Jubilee College","US-IL","State Park"
"K-1004","Kankakee River","US-IL","State Park"
"K-1005","Lake Le-Aqua-Na","US-IL","State Park"
"K-1006","Lake Murphysboro","US-IL","State Park"
"K-1007","Lincoln Trail","US-IL","State Park"
"K-1008","Lowden","US-IL","State Park"
"K-1009","Matthiessen","US-IL","State Park"
"K-1010","Mississippi Palisades","US-IL","State Park"
"K-1011","Montebello","US-IL","State Park"
"K-1012","Moraine Hills","US-IL","State Park"
"K-1013","Morrison-Rockwood","US-IL","State Park"
"K-1014","Nauvoo","US-IL","State Park"
"K-1015","Pere Marquette","US-IL","State Park"
"K-1016","Railsplitter","US-IL","State Park"
"K-1017","Ramsey Lake","US-IL","State Park"
"K-1018","Red Hills","US-IL","State Park"
"K-1019","Rock Cut","US-IL","State Park"
"K-1020","Sam Parr","US-IL","State Park"
"K-1021","Sangchris Lake","US-IL","State Park"
"K-1022","Sid Simpson","US-IL","State Park"
"K-1023","Siloam Springs","US-IL","State Park"
"K-1024","Silver Springs","US-IL","State Park"
"K-1025","South Shore","US-IL","State Park"
"K-1026","Spitler Woods","US-IL","State Park"
"K-1027","Starved Rock","US-IL","State Park"
"K-1028","Walnut Point","US-IL","State Park"
"K-1029","Wayne Fitzgerrell","US-IL","State Park"
"K-1030","Weldon Springs","US-IL","State Park"
"K-1031","White Pines Forest","US-IL","State Park"
"K-1032","William G. Stratton","US-IL","State Park"
"K-1033","Wolf Creek","US-IL","State Park"
"K-1034","Blue Springs","US-AL","State Park"
"K-1035","Buck's Pocket","US-AL","State Park"
"K-1036","Cathedral Caverns","US-AL","State Park"
"K-1037","Cheaha Resort","US-AL","State Park"
"K-1038","Chewacla","US-AL","State Park"
"K-1039","De Soto","US-AL","State Park"
"K-1040","Florala","US-AL","State Park"
"K-1041","Frank Jackson","US-AL","State Park"
"K-1042","Gulf","US-AL","State Park"
"K-1043","Joe Wheeler","US-AL","State Park"
"K-1044","Lake Guntersville","US-AL","State Park"
"K-1045","Lake Lurleen","US-AL","State Park"
"K-1046","Lakepoint Resort","US-AL","State Park"
"K-1047","Meaher","US-AL","State Park"
"K-1048","Monte Sano","US-AL","State Park"
"K-1049","Oak Mountain","US-AL","State Park"
"K-1050","Rickwood Caverns","US-AL","State Park"
"K-1051","Wind Creek","US-AL","State Park"
"K-1052","Alamo Lake","US-AZ","State Park"
"K-1053","Boyce Thompson Arboretum","US-AZ","State Park"
"K-1054","Buckskin Mountain","US-AZ","State Park"
"K-1055","Catalina","US-AZ","State Park"
"K-1056","Cattail Cove","US-AZ","State Park"
"K-1057","Dead Horse Ranch","US-AZ","State Park"
"K-1058","Homolovi","US-AZ","State Park"
"K-1059","Kartchner Caverns","US-AZ","State Park"
"K-1060","Lake Havasu","US-AZ","State Park"
"K-1061","Lost Dutchman","US-AZ","State Park"
"K-1062","Lyman Lake","US-AZ","State Park"
"K-1063","Oracle","US-AZ","State Park"
"K-1064","Patagonia Lake","US-AZ","State Park"
"K-1065","Picacho Peak","US-AZ","State Park"
"K-1066","Red Rock","US-AZ","State Park"
"K-1067","Roper Lake","US-AZ","State Park"
"K-1068","Slide Rock","US-AZ","State Park"
"K-1069","Tonto Natural Bridge","US-AZ","State Park"
"K-1070","Arkansas Museam of Natural Resources","US-AR","State Park"
"K-1071","Arkansas Post Museam","US-AR","State Park"
"K-1072","Bull Shoals White River","US-AR","State Park"
"K-1073","Cane Creek","US-AR","State Park"
"K-1074","Conway Cemetery","US-AR","State Park"
"K-1075","Cossatot River","US-AR","State Park"
"K-1076","Crater of Diamonds","US-AR","State Park"
"K-1077","Crowley's Ridge","US-AR","State Park"
"K-1078","Daisy","US-AR","State Park"
"K-1079","Davidsonville Historic (Old)","US-AR","State Park"
"K-1080","DeGray Lake Resort","US-AR","State Park"
"K-1081","Delta Heritage Trails","US-AR","State Park"
"K-1082","Devil's Den","US-AR","State Park"
"K-1083","Hampson Museum","US-AR","State Park"
"K-1084","Herman Davis","US-AR","State Park"
"K-1085","Hobbs","US-AR","State Park"
"K-1086","Jacksonport","US-AR","State Park"
"K-1087","Jenkins Ferry","US-AR","State Park"
"K-1088","Lake Catherine","US-AR","State Park"
"K-1089","Lake Charles","US-AR","State Park"
"K-1090","Lake Chicot","US-AR","State Park"
"K-1091","Lake Dardanelle","US-AR","State Park"
"K-1092","Lake Fort Smith","US-AR","State Park"
"K-1093","Lake Frierson","US-AR","State Park"
"K-1094","Lake Ouachita","US-AR","State Park"
"K-1095","Lake Poinsett","US-AR","State Park"
"K-1096","Logoly","US-AR","State Park"
"K-1097","Louisiana Purchase","US-AR","State Park"
"K-1098","Lower White River Museam","US-AR","State Park"
"K-1099","Mammoth Spring","US-AR","State Park"
"K-1100","Marks' Mills","US-AR","State Park"
"K-1101","Millwood","US-AR","State Park"
"K-1102","Mississippi River","US-AR","State Park"
"K-1103","Moro Bay","US-AR","State Park"
"K-1104","Mount Magazine","US-AR","State Park"
"K-1105","Mount Nebo","US-AR","State Park"
"K-1106","Historic Washington","US-AR","State Park"
"K-1107","Ozark Folk Center","US-AR","State Park"
"K-1108","Parkin Archeological","US-AR","State Park"
"K-1109","Petit Jean","US-AR","State Park"
"K-1110","Pinnacle Mountain","US-AR","State Park"
"K-1111","Poison Springs Battleground","US-AR","State Park"
"K-1112","Powhatan","US-AR","State Park"
"K-1113","Prairie Grove Battlefield","US-AR","State Park"
"K-1114","Queen Wilhelmina","US-AR","State Park"
"K-1115","South Arkansas Arboretum","US-AR","State Park"
"K-1116","Toltec Mounds Archeological","US-AR","State Park"
"K-1117","Village Creek","US-AR","State Park"
"K-1118","White Oak Lake","US-AR","State Park"
"K-1119","Withrow Springs","US-AR","State Park"
"K-1120","Woolly Hollow","US-AR","State Park"
"K-1121","Ahjumawi Lava Springs","US-CA","State Park"
"K-1122","Andrew Molera","US-CA","State Park"
"K-1123","Angel Island","US-CA","State Park"
"K-1124","Annadel","US-CA","State Park"
"K-1125","A̱o Nuevo","US-CA","State Park"
"K-1126","Anza Borrego Desert","US-CA","State Park"
"K-1127","Arthur B. Ripley Desert Woodland","US-CA","State Park"
"K-1128","Bidwell-Sacramento River","US-CA","State Park"
"K-1129","Big Basin Redwoods","US-CA","State Park"
"K-1130","Border Field","US-CA","State Park"
"K-1131","Bothe-Napa Valley","US-CA","State Park"
"K-1132","Burton Creek","US-CA","State Park"
"K-1133","Butano","US-CA","State Park"
"K-1134","Calaveras Big Trees","US-CA","State Park"
"K-1135","Castle Crags","US-CA","State Park"
"K-1136","Castle Rock","US-CA","State Park"
"K-1137","Caswell","US-CA","State Park"
"K-1138","China Camp","US-CA","State Park"
"K-1139","Chino Hills","US-CA","State Park"
"K-1140","Clear Lake","US-CA","State Park"
"K-1141","Crystal Cove","US-CA","State Park"
"K-1142","Cuyamaca Rancho","US-CA","State Park"
"K-1143","Del Norte Coast Redwoods","US-CA","State Park"
"K-1144","D L Bliss","US-CA","State Park"
"K-1145","Donner Memorial","US-CA","State Park"
"K-1146","Ed Z'berg Sugar Pine Point","US-CA","State Park"
"K-1147","Emerald Bay","US-CA","State Park"
"K-1148","Estero Bluffs","US-CA","State Park"
"K-1149","The Forest of Nisene Marks","US-CA","State Park"
"K-1150","Fort Ord Dunes","US-CA","State Park"
"K-1151","Fremont Peak","US-CA","State Park"
"K-1152","Garrapata","US-CA","State Park"
"K-1153","Gaviota","US-CA","State Park"
"K-1154","Great Valley Grasslands","US-CA","State Park"
"K-1155","Grizzly Creek Redwoods","US-CA","State Park"
"K-1156","Grover Hot Springs","US-CA","State Park"
"K-1157","Harmony Headlands","US-CA","State Park"
"K-1158","Hearst San Simeon","US-CA","State Park"
"K-1159","Hendy Woods","US-CA","State Park"
"K-1160","Henry Cowell Redwoods","US-CA","State Park"
"K-1161","Henry W. Coe","US-CA","State Park"
"K-1162","Humboldt Lagoons","US-CA","State Park"
"K-1163","Humboldt Redwoods","US-CA","State Park"
"K-1164","Jedediah Smith Redwoods","US-CA","State Park"
"K-1165","Julia Pfeiffer Burns","US-CA","State Park"
"K-1166","Leo Carrillo","US-CA","State Park"
"K-1167","Limekiln","US-CA","State Park"
"K-1168","MacKerricher","US-CA","State Park"
"K-1169","Malibu Creek","US-CA","State Park"
"K-1170","Manchester","US-CA","State Park"
"K-1171","McArthur-Burney Falls Memorial","US-CA","State Park"
"K-1172","Mendocino Headlands","US-CA","State Park"
"K-1173","Mendocino Woodlands","US-CA","State Park"
"K-1174","Montana de Oro","US-CA","State Park"
"K-1175","Morro Bay","US-CA","State Park"
"K-1176","Mount Diablo","US-CA","State Park"
"K-1177","Mount San Jacinto","US-CA","State Park"
"K-1178","Mount Tamalpais","US-CA","State Park"
"K-1179","Navarro River Redwoods","US-CA","State Park"
"K-1180","Pacheco","US-CA","State Park"
"K-1181","Palomar Mountain","US-CA","State Park"
"K-1182","Patricks Point","US-CA","State Park"
"K-1183","Pfeiffer Big Sur","US-CA","State Park"
"K-1184","Placerita Canyon","US-CA","State Park"
"K-1185","Plumas Eureka","US-CA","State Park"
"K-1186","Point Mugu","US-CA","State Park"
"K-1187","Portola Redwoods","US-CA","State Park"
"K-1188","Prairie Creek Redwoods","US-CA","State Park"
"K-1189","Red Rock Canyon","US-CA","State Park"
"K-1190","Richardson Grove","US-CA","State Park"
"K-1191","Robert Louis Stevenson","US-CA","State Park"
"K-1192","Russian Gulch","US-CA","State Park"
"K-1193","Saddleback Butte","US-CA","State Park"
"K-1194","Salt Point","US-CA","State Park"
"K-1195","Samuel P. Taylor","US-CA","State Park"
"K-1196","San Bruno Mountain","US-CA","State Park"
"K-1197","Sinkyone Wilderness","US-CA","State Park"
"K-1198","Sonoma Coast","US-CA","State Park"
"K-1199","South Yuba River","US-CA","State Park"
"K-1200","Sugarloaf Ridge","US-CA","State Park"
"K-1201","Sutter Buttes","US-CA","State Park"
"K-1202","Tolowa Dunes","US-CA","State Park"
"K-1203","Tomales Bay","US-CA","State Park"
"K-1204","Topanga","US-CA","State Park"
"K-1205","Van Damme","US-CA","State Park"
"K-1206","Washoe Meadows","US-CA","State Park"
"K-1207","Wilder Ranch","US-CA","State Park"
"K-1208","Arkansas River Headwaters","US-CO","State Park"
"K-1209","Barr Lake","US-CO","State Park"
"K-1210","Boyd Lake","US-CO","State Park"
"K-1211","Castlewood Canyon","US-CO","State Park"
"K-1212","Chatfield","US-CO","State Park"
"K-1213","Cherry Creek","US-CO","State Park"
"K-1214","Cheyenne Mountain","US-CO","State Park"
"K-1215","Crawford","US-CO","State Park"
"K-1216","Eldorado Canyon","US-CO","State Park"
"K-1217","Eleven Mile","US-CO","State Park"
"K-1218","Elkhead","US-CO","State Park"
"K-1219","Golden Gate Canyon","US-CO","State Park"
"K-1220","Harvey Gap","US-CO","State Park"
"K-1221","Highline Lake","US-CO","State Park"
"K-1222","Jackson Lake","US-CO","State Park"
"K-1223","James M. Robb - Colorado River","US-CO","State Park"
"K-1224","John Martin Reservoir","US-CO","State Park"
"K-1225","Lake Pueblo","US-CO","State Park"
"K-1226","Lathrop","US-CO","State Park"
"K-1227","Lone Mesa","US-CO","State Park"
"K-1228","Lory","US-CO","State Park"
"K-1229","Mancos","US-CO","State Park"
"K-1230","Mueller","US-CO","State Park"
"K-1231","Navajo","US-CO","State Park"
"K-1232","North Sterling","US-CO","State Park"
"K-1233","Paonia","US-CO","State Park"
"K-1234","Pearl Lake","US-CO","State Park"
"K-1235","Ridgway","US-CO","State Park"
"K-1236","Rifle Falls","US-CO","State Park"
"K-1237","Rifle Gap","US-CO","State Park"
"K-1238","Roxborough","US-CO","State Park"
"K-1239","San Luis","US-CO","State Park"
"K-1240","Spinney Mountain","US-CO","State Park"
"K-1241","St. Vrain","US-CO","State Park"
"K-1242","Stagecoach","US-CO","State Park"
"K-1243","State Forest","US-CO","State Park"
"K-1244","Staunton","US-CO","State Park"
"K-1245","Steamboat Lake","US-CO","State Park"
"K-1246","Sweitzer Lake","US-CO","State Park"
"K-1247","Sylvan Lake","US-CO","State Park"
"K-1248","Trinidad Lake","US-CO","State Park"
"K-1249","Vega","US-CO","State Park"
"K-1250","Yampa River","US-CO","State Park"
"K-1251","Carr Creek","US-KY","State Park"
"K-1252","Columbus Belmont","US-KY","State Park"
"K-1253","Dawkins Line Rail Trail","US-KY","State Park"
"K-1254","E.P. ""Tom"" Sawyer","US-KY","State Park"
"K-1255","Fishtrap Lake","US-KY","State Park"
"K-1256","Fort Boonesborough","US-KY","State Park"
"K-1257","General Burnside","US-KY","State Park"
"K-1258","Grayson Lake","US-KY","State Park"
"K-1259","Green River Lake","US-KY","State Park"
"K-1260","John James Audubon","US-KY","State Park"
"K-1261","Kincaid Lake","US-KY","State Park"
"K-1262","Kingdom Come","US-KY","State Park"
"K-1263","Lake Malone","US-KY","State Park"
"K-1264","Levi Jackson Wilderness Road","US-KY","State Park"
"K-1265","Lincoln Homestead","US-KY","State Park"
"K-1266","Mineral Mounds","US-KY","State Park"
"K-1267","My Old Kentucky Home","US-KY","State Park"
"K-1268","Nolin Lake","US-KY","State Park"
"K-1269","Old Fort Harrod","US-KY","State Park"
"K-1270","Paintsville Lake","US-KY","State Park"
"K-1271","Taylorsville Lake","US-KY","State Park"
"K-1272","Yatesville Lake","US-KY","State Park"
"K-1273","Barren River Lake","US-KY","State Park"
"K-1274","Blue Licks Battlefield","US-KY","State Park"
"K-1275","Buckhorn Lake","US-KY","State Park"
"K-1276","Carter Caves","US-KY","State Park"
"K-1277","Cumberland Falls","US-KY","State Park"
"K-1278","Dale Hollow","US-KY","State Park"
"K-1279","General Butler","US-KY","State Park"
"K-1280","Greenbo Lake","US-KY","State Park"
"K-1281","Jenny Wiley","US-KY","State Park"
"K-1282","Kenlake","US-KY","State Park"
"K-1283","Kentucky Dam Village","US-KY","State Park"
"K-1284","Lake Barkley","US-KY","State Park"
"K-1285","Lake Cumberland","US-KY","State Park"
"K-1286","Natural Bridge","US-KY","State Park"
"K-1287","Pennyrile Forest","US-KY","State Park"
"K-1288","Pine Mountain","US-KY","State Park"
"K-1289","Rough River Dam","US-KY","State Park"
"K-1290","Bear Creek Lake","US-VA","State Park"
"K-1291","Belle Isle","US-VA","State Park"
"K-1292","Breaks Interstate","US-VA","State Park"
"K-1293","Caledon","US-VA","State Park"
"K-1294","Chippokes Plantation","US-VA","State Park"
"K-1295","Claytor Lake","US-VA","State Park"
"K-1296","Douthat","US-VA","State Park"
"K-1297","Fairy Stone","US-VA","State Park"
"K-1298","False Cape","US-VA","State Park"
"K-1299","First Landing","US-VA","State Park"
"K-1300","Grayson Highlands","US-VA","State Park"
"K-1301","High Bridge Trail","US-VA","State Park"
"K-1302","Holliday Lake","US-VA","State Park"
"K-1303","Hungry Mother","US-VA","State Park"
"K-1304","James River","US-VA","State Park"
"K-1305","Kiptopeke","US-VA","State Park"
"K-1306","Lake Anna","US-VA","State Park"
"K-1307","Leesylvania","US-VA","State Park"
"K-1308","Mason Neck","US-VA","State Park"
"K-1309","Natural Tunnel","US-VA","State Park"
"K-1310","New River Trail","US-VA","State Park"
"K-1311","Occoneechee","US-VA","State Park"
"K-1312","Pocahontas","US-VA","State Park"
"K-1313","Powhatan","US-VA","State Park"
"K-1314","Sailor's Creek Battlefield","US-VA","State Park"
"K-1315","Seven Bends","US-VA","State Park"
"K-1316","Shenandoah River","US-VA","State Park"
"K-1317","Shot Tower","US-VA","State Park"
"K-1318","Sky Meadows","US-VA","State Park"
"K-1319","Smith Mountain Lake","US-VA","State Park"
"K-1320","Southwest Virginia Museum","US-VA","State Park"
"K-1321","Staunton River","US-VA","State Park"
"K-1322","Staunton River Battlefield","US-VA","State Park"
"K-1323","Twin Lakes","US-VA","State Park"
"K-1324","Westmoreland","US-VA","State Park"
"K-1325","Wilderness Road","US-VA","State Park"
"K-1326","York River","US-VA","State Park"
"K-1327","Allegheny Islands","US-PA","State Park"
"K-1328","Archbald Pothole","US-PA","State Park"
"K-1329","Bald Eagle","US-PA","State Park"
"K-1330","Beltzville","US-PA","State Park"
"K-1331","Bendigo","US-PA","State Park"
"K-1332","Benjamin Rush","US-PA","State Park"
"K-1333","Big Pocono","US-PA","State Park"
"K-1334","Black Moshannon","US-PA","State Park"
"K-1335","Blue Knob","US-PA","State Park"
"K-1336","Buchanan's Birthplace","US-PA","State Park"
"K-1337","Caledonia","US-PA","State Park"
"K-1338","Canoe Creek","US-PA","State Park"
"K-1339","Chapman","US-PA","State Park"
"K-1340","Cherry Springs","US-PA","State Park"
"K-1341","Clear Creek","US-PA","State Park"
"K-1342","Codorus","US-PA","State Park"
"K-1343","Colonel Denning","US-PA","State Park"
"K-1344","Colton Point","US-PA","State Park"
"K-1345","Cook Forest","US-PA","State Park"
"K-1346","Cowans Gap","US-PA","State Park"
"K-1347","Delaware Canal","US-PA","State Park"
"K-1348","Denton Hill","US-PA","State Park"
"K-1349","Elk","US-PA","State Park"
"K-1350","Erie Bluffs","US-PA","State Park"
"K-1351","Evansburg","US-PA","State Park"
"K-1352","Fort Washington","US-PA","State Park"
"K-1353","Fowlers Hollow","US-PA","State Park"
"K-1354","Frances Slocum","US-PA","State Park"
"K-1355","French Creek","US-PA","State Park"
"K-1356","Gifford Pinchot","US-PA","State Park"
"K-1357","Gouldsboro","US-PA","State Park"
"K-1358","Greenwood Furnace","US-PA","State Park"
"K-1359","Hickory Run","US-PA","State Park"
"K-1360","Hillman","US-PA","State Park"
"K-1361","Hills Creek","US-PA","State Park"
"K-1362","Hyner Run","US-PA","State Park"
"K-1363","Hyner View","US-PA","State Park"
"K-1364","Kettle Creek","US-PA","State Park"
"K-1365","Keystone","US-PA","State Park"
