"Ref","Name","Location","Type"
"K-0116","Palmyra Atoll","US-KH5","National Wildlife Refuge"
"K-0117","Hakalau Forest","US-HI","National Wildlife Refuge"
"K-0118","Hanalei","US-HI","National Wildlife Refuge"
"K-0119","Hawaiian Islands","US-HI","National Wildlife Refuge"
"K-0121","Kure Atoll","US-KH7K","State Wildlife Sanctuary"
"K-0122","Howland Island","US-KH1","National Wildlife Refuge"
"K-0123","Huleia","US-HI","National Wildlife Refuge"
"K-0124","James Campbell","US-HI","National Wildlife Refuge"
"K-0125","Kakahaia","US-HI","National Wildlife Refuge"
"K-0126","Kealia Pond","US-HI","National Wildlife Refuge"
"K-0127","Kilauea Point","US-HI","National Wildlife Refuge"
"K-0128","O'ahu Forest","US-HI","National Wildlife Refuge"
"K-0129","Pearl Harbor","US-HI","National Wildlife Refuge"
"K-0130","Rose Atoll","US-KH8","National Wildlife Refuge"
"K-0131","Navassa Island","US-KP1","National Wildlife Refuge"
"K-0132","Cabo Rojo","US-KP4","National Wildlife Refuge"
"K-0133","Desecheo","US-KP5","National Wildlife Refuge"
"K-0134","Laguna Cartagena","US-KP4","National Wildlife Refuge"
"K-0135","Vieques","US-KP4","National Wildlife Refuge"
"K-0136","Bon Secour","US-AL","National Wildlife Refuge"
"K-0137","Cahaba River","US-AL","National Wildlife Refuge"
"K-0138","Choctaw","US-AL","National Wildlife Refuge"
"K-0139","Eufaula","US-AL","National Wildlife Refuge"
"K-0140","Fern Cave","US-AL","National Wildlife Refuge"
"K-0141","Key Cave","US-AL","National Wildlife Refuge"
"K-0142","Arctic","US-AK","National Wildlife Refuge"
"K-0143","Alaska Maritime","US-AK","National Wildlife Refuge"
"K-0144","Alaska Peninsula","US-AK","National Wildlife Refuge"
"K-0145","Becharof","US-AK","National Wildlife Refuge"
"K-0146","Innoko","US-AK","National Wildlife Refuge"
"K-0147","Izembek","US-AK","National Wildlife Refuge"
"K-0148","Kanuti","US-AK","National Wildlife Refuge"
"K-0149","Kenai","US-AK","National Wildlife Refuge"
"K-0150","Kodiak","US-AK","National Wildlife Refuge"
"K-0151","Koyukuk","US-AK","National Wildlife Refuge"
"K-0152","Nowitna","US-AK","National Wildlife Refuge"
"K-0153","Selawik","US-AK","National Wildlife Refuge"
"K-0154","Tetlin","US-AK","National Wildlife Refuge"
"K-0155","Togiak","US-AK","National Wildlife Refuge"
"K-0156","Yukon Delta","US-AK","National Wildlife Refuge"
"K-0157","Yukon Flats","US-AK","National Wildlife Refuge"
"K-0158","Mountain Longleaf","US-AL","National Wildlife Refuge"
"K-0159","Sauta Cave","US-AL","National Wildlife Refuge"
"K-0160","Watercress Darter","US-AL","National Wildlife Refuge"
"K-0161","Wheeler","US-AL","National Wildlife Refuge"
"K-0162","Bald Knob","US-AR","National Wildlife Refuge"
"K-0163","Big Lake","US-AR","National Wildlife Refuge"
"K-0164","Cache River","US-AR","National Wildlife Refuge"
"K-0165","Felsenthal","US-AR","National Wildlife Refuge"
"K-0166","Holla Bend","US-AR","National Wildlife Refuge"
"K-0167","Logan Cave","US-AR","National Wildlife Refuge"
"K-0168","Overflow","US-AR","National Wildlife Refuge"
"K-0169","Pond Creek","US-AR","National Wildlife Refuge"
"K-0170","Wapanocca","US-AR","National Wildlife Refuge"
"K-0171","White River","US-AR","National Wildlife Refuge"
"K-0172","Bill Williams River","US-AZ","National Wildlife Refuge"
"K-0173","Buenos Aires","US-AZ","National Wildlife Refuge"
"K-0174","Cabeza Prieta","US-AZ","National Wildlife Refuge"
"K-0175","Cibola","US-AZ","National Wildlife Refuge"
"K-0176","Imperial","US-AZ","National Wildlife Refuge"
"K-0177","Kofa","US-AZ","National Wildlife Refuge"
"K-0178","Leslie Canyon","US-AZ","National Wildlife Refuge"
"K-0179","San Bernardino","US-AZ","National Wildlife Refuge"
"K-0180","Antioch Dunes","US-CA","National Wildlife Refuge"
"K-0181","Bitter Creek","US-CA","National Wildlife Refuge"
"K-0182","Blue Ridge","US-CA","National Wildlife Refuge"
"K-0183","Butte Sink","US-CA","National Wildlife Refuge"
"K-0184","Castle Rock","US-CA","National Wildlife Refuge"
"K-0185","Clear Lake","US-CA","National Wildlife Refuge"
"K-0186","Coachella Valley","US-CA","National Wildlife Refuge"
"K-0187","Colusa","US-CA","National Wildlife Refuge"
"K-0188","Delevan","US-CA","National Wildlife Refuge"
"K-0189","Don Edwards San Francisco Bay","US-CA","National Wildlife Refuge"
"K-0190","Ellicott Slough","US-CA","National Wildlife Refuge"
"K-0191","Farallon","US-CA","National Wildlife Refuge"
"K-0192","Grasslands","US-CA","Wildlife Management Area"
"K-0193","Guadalupe-Nipomo Dunes","US-CA","National Wildlife Refuge"
"K-0194","Havasu","US-AZ","National Wildlife Refuge"
"K-0195","Hopper Mountain","US-CA","National Wildlife Refuge"
"K-0196","Humboldt Bay","US-CA","National Wildlife Refuge"
"K-0197","Kern","US-CA","National Wild and Scenic River"
"K-0198","Kesterson","US-CA","National Wildlife Refuge"
"K-0199","Lower Klamath","US-CA","National Wildlife Refuge"
"K-0200","Marin Islands","US-CA","National Wildlife Refuge"
"K-0201","Merced","US-CA","National Wild and Scenic River"
"K-0202","Modoc","US-CA","National Wildlife Refuge"
"K-0203","North Central Valley","US-CA","Wildlife Management Area"
"K-0204","Pixley","US-CA","National Wildlife Refuge"
"K-0205","Sacramento","US-CA","National Wildlife Refuge"
"K-0206","Sacramento River","US-CA","National Wildlife Refuge"
"K-0207","Salinas River","US-CA","National Wildlife Refuge"
"K-0208","San Diego","US-CA","National Wildlife Refuge"
"K-0209","San Diego Bay","US-CA","National Wildlife Refuge"
"K-0210","San Joaquin River","US-CA","National Wildlife Refuge"
"K-0211","San Luis","US-CA","National Wildlife Refuge"
"K-0212","San Pablo Bay","US-CA","National Wildlife Refuge"
"K-0213","Seal Beach","US-CA","National Wildlife Refuge"
"K-0214","Sonny Bono Salton Sea","US-CA","National Wildlife Refuge"
"K-0215","Stone Lakes","US-CA","National Wildlife Refuge"
"K-0216","Sutter","US-CA","National Wildlife Refuge"
"K-0217","Tijuana Slough","US-CA","National Wildlife Refuge"
"K-0218","Tule Lake","US-CA","National Wildlife Refuge"
"K-0219","Willow Creek-Lurline","US-CA","Private Lands - Wildlife Management Area"
"K-0220","Alamosa","US-CO","National Wildlife Refuge"
"K-0221","Arapaho","US-CO","National Wildlife Refuge"
"K-0222","Baca","US-CO","National Wildlife Refuge"
